@RELATION Figure

@ATTRIBUTE vertexAx REAL
@ATTRIBUTE vertexAy REAL
@ATTRIBUTE vertexBx REAL
@ATTRIBUTE vertexBy REAL
@ATTRIBUTE vertexCx REAL
@ATTRIBUTE vertexCy REAL
@ATTRIBUTE vertexDx REAL
@ATTRIBUTE vertexDy REAL
@ATTRIBUTE class {Square, Rectangle}

@DATA

0.0,0.0,138.0,0.0,0.0,138.0,138.0,138.0,Square
0.0,0.0,51.0,0.0,0.0,39.0,51.0,39.0,Rectangle
0.0,0.0,126.0,0.0,0.0,126.0,126.0,126.0,Square
0.0,0.0,91.0,0.0,0.0,54.0,91.0,54.0,Rectangle
0.0,0.0,161.0,0.0,0.0,117.0,161.0,117.0,Rectangle
0.0,0.0,147.0,0.0,0.0,30.0,147.0,30.0,Rectangle
0.0,0.0,194.0,0.0,0.0,194.0,194.0,194.0,Square
0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,Square
0.0,0.0,91.0,0.0,0.0,75.0,91.0,75.0,Rectangle
0.0,0.0,151.0,0.0,0.0,114.0,151.0,114.0,Rectangle
0.0,0.0,186.0,0.0,0.0,186.0,186.0,186.0,Square
0.0,0.0,212.0,0.0,0.0,212.0,212.0,212.0,Square
0.0,0.0,200.0,0.0,0.0,200.0,200.0,200.0,Square
0.0,0.0,184.0,0.0,0.0,184.0,184.0,184.0,Square
0.0,0.0,152.0,0.0,0.0,152.0,152.0,152.0,Square
0.0,0.0,61.0,0.0,0.0,96.0,61.0,96.0,Rectangle
0.0,0.0,113.0,0.0,0.0,100.0,113.0,100.0,Rectangle
0.0,0.0,92.0,0.0,0.0,92.0,92.0,92.0,Square
0.0,0.0,67.0,0.0,0.0,50.0,67.0,50.0,Rectangle
0.0,0.0,115.0,0.0,0.0,71.0,115.0,71.0,Rectangle
0.0,0.0,193.0,0.0,0.0,96.0,193.0,96.0,Rectangle
0.0,0.0,168.0,0.0,0.0,168.0,168.0,168.0,Square
0.0,0.0,85.0,0.0,0.0,37.0,85.0,37.0,Rectangle
0.0,0.0,89.0,0.0,0.0,31.0,89.0,31.0,Rectangle
0.0,0.0,196.0,0.0,0.0,196.0,196.0,196.0,Square
0.0,0.0,216.0,0.0,0.0,216.0,216.0,216.0,Square
0.0,0.0,136.0,0.0,0.0,136.0,136.0,136.0,Square
0.0,0.0,206.0,0.0,0.0,206.0,206.0,206.0,Square
0.0,0.0,184.0,0.0,0.0,184.0,184.0,184.0,Square
0.0,0.0,79.0,0.0,0.0,26.0,79.0,26.0,Rectangle
0.0,0.0,142.0,0.0,0.0,142.0,142.0,142.0,Square
0.0,0.0,164.0,0.0,0.0,164.0,164.0,164.0,Square
0.0,0.0,219.0,0.0,0.0,32.0,219.0,32.0,Rectangle
0.0,0.0,141.0,0.0,0.0,71.0,141.0,71.0,Rectangle
